Problem,Specialist
"আমার সপ্তাহের শুরুতে থেকে দাঁতের চিবোনোর পৃষ্ঠে এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে পাশাপাশি মাড়ি থেকে রক্ত পড়া।",Dentist
আমার ভাঙা হাড় প্লেট ও স্ক্রু দিয়ে জোড়া দিতে হবে।,Surgery
আমার গত দুই সপ্তাহ যাবত বাম কানে তীব্র ব্যথা অনুভব করছি।,ENT
প্রেগন্যান্সির সময় শ্বাস বন্ধ হয়ে আসে।,Gynecologist
সামান্য কাজেই আমি খুব ক্লান্ত হয়ে যাই।,Cardiologist
আমার প্রস্রাবের অনেক চাপ আসে কিন্তু সেই তুলনায় খুব কম প্রস্রাব হয়। আর অনেক ব্যথা করে।,Medicine
আমার নখের পাশে চামড়া উঠে খুব ব্যথা করে।,Skin
আমার পেশীগুলো লাফায়।,Orthopedic
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে ঠান্ডা পানীয় খেলে ক্ষণিকের তীব্র যন্ত্রণা, এমনকি কামড় দিয়ে আপেল খেলেও। এর সঙ্গে মাড়ি ফোলা।",Dentist
"মাসিকের সময় অনেক ঘাম হয়, বিশেষ করে রাতে।",Gynecologist
আমার নাক বন্ধ আর সর্দির সাথে রক্ত পরে,Medicine
আমি গর্ভাবস্থায় সবসময় কাঁদতে ইচ্ছা করে।,Gynecologist
চোখ খোলার সময় চোখ ভারী মনে হয়।,Ophthalmologist
আমার মেয়ের হাত মচকে গিয়েছে নাড়াতে পারছে না,Orthopedic
আমার পায়ের আঙুলে ইনফেকশন হয়েছে।,Surgery
আমার শরীরে গায়ে জ্বালাপোড়া হয় বিকেল বেলায়।,Medicine
আমার কনুইয়ের হাড়ে ব্যথা করে।,Orthopedic
আমি এখন কার্ডিয়াক রিহ্যাবিলিটেশনে আছি।,Cardiologist
পিরিয়ড বন্ধ হওয়ার পর শরীর ভারী লাগে।,Gynecologist
আমার মামার প্রেসার অনেক নিচে নেমে যাওয়ার পর হঠাৎ করে দাঁড়ানো অবস্থায় পরে যায়। আর অজ্ঞ্যান হয়ে যায়। জ্ঞ্যান আসার পর থেকে বমি করেই যাচ্ছে,Medicine
আমার দুই সপ্তাহ ধরে বাম কানে তীব্র ব্যথা অনুভব করছি সাথে সাথে কানে ভোঁ ভোঁ শব্দ হচ্ছে।,ENT
"আমার লম্বা সময় সময় ধরে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে মুখে দুর্গন্ধ সৃষ্টি করছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার করোনারি আর্টারি ডিজিজ আছে।,Cardiologist
আমার পায়ের আঙুলের নখ মাংসের ভেতর ঢুকে ইনফেকশন হয়েছে।,Surgery
আমার ছেলের মাথার পিছনে প্রচন্ড ব্যথা করে,Medicine
চোখ জ্বালাময়ী হয়ে ওঠে দুপুরে।,Ophthalmologist
আমার পেট ব্যথা করে,Medicine
আমার নাভির ব্যথাটা কিসের জন্য হচ্ছে?,Surgery
আমার প্রায় দুই সপ্তাহ যাবত কানে শব্দ আসে কিন্তু বুঝতে পারি না । খাবার খেতে কষ্ট হচ্ছে।,ENT
প্রেগন্যান্সির সময় চোখ ভারী হয়ে থাকে।,Gynecologist
আমার এক সপ্তাহ থেকে নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে সাথে সাথে গন্ধের অনুভূতি কমে গেছে।,ENT
আবার ইচ্ছে করে কাউকে কিছু মা বলে দূরে কোথাও চলে যাই।মেয়ে তো সেফটির কারনে সেটাও যেতে সাহস পাচ্ছিনা।,Psychiatrist
আমার হাঁটার সময় ভারসাম্য রাখতে কষ্ট হয়।,Orthopedic
আমার কয়েক মাস সময় ধরে নাকের এক পাশ সবসময় বন্ধ থাকে এছাড়াও নাক ঝাড়লে রক্ত বের হয়।,ENT
আমার দুই সপ্তাহ থেকে কানে ভোঁ ভোঁ শব্দ হচ্ছে এছাড়াও কানে টনটনে ব্যথা করছে। জ্বর আসছে।,ENT
আমার কাঁধের মুভমেন্ট সীমিত হয়ে গেছে।,Orthopedic
প্রেগন্যান্সির সময় খাবারে অরুচি লাগে।,Gynecologist
আমার অনেক পাতলা পায়খানা হচ্ছে আর সাথে অনেক শ্বাস কষ্ট হচ্ছে,Medicine
আমার ছেলের গোড়ালির পেছনের রগে (Achilles tendon) ব্যথা।,Orthopedic
আমার ত্বকে চুলকানোর পর লম্বা লম্বা লাল দাগ হয়ে যায়।,Skin
আমার হৃদরোগের কারণে আমি আমার ভবিষ্যৎ নিয়ে খুব চিন্তিত।,Cardiologist
মানবতার উপর বিশ্বাস হারাবেন না। মানবতা একটি সাগর; সাগরের কয়েক ফোঁটা নোংরা হলে সাগর নোংরা হয় না।,Psychiatrist
"আমার গত কয়েক দিন যাবৎ মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি ডায়াবেটিসের সমস্যা আছে।",Dentist
"আমার গত এক সপ্তাহ যাবৎ উপরের ডান দিকের মোলার দাঁতে টনটনে ব্যথা, যা কানের দিকে ছড়াচ্ছে। ব্যথানাশক ছাড়া চলছেই না।",Dentist
"আমার প্রায় মাসখানেক ধরে দাঁতের সংযোগস্থলে এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি এর সঙ্গে ঠান্ডা পানীয় এ সমস্যা।",Dentist
আমার শিশুর খাদ্যনালী জন্মগতভাবে বন্ধ।,Surgery
আমার মেয়ের প্রস্রাব করার সময় অনেক জ্বালাপুড়া করে আর বমি করে।,Medicine
আমার খাবারের মধ্যে বা রাতে পেট জ্বালা পুড়া করে।,Medicine
আমার শরীরের লোমকূপের গোড়ায় গোড়ায় গোটা হয়েছে।,Skin
প্রেগন্যান্সির সময় দাঁতে ব্যথা হলে কী করব?,Gynecologist
বুক ধড়ফড় করার সাথে সাথে আমার শ্বাস নিতেও কষ্ট হয়।,Cardiologist
আমার মেনোপজ হয়ে গেছে।,Gynecologist
"আমার পায়ে একটা ঘা হয়েছে, যা কিছুতেই শুকাচ্ছে না।",Cardiologist
আমার ত্বকের উজ্জ্বলতা ফিরিয়ে আনতে চাই।,Skin
আমার হাতের কনুইয়ের জয়েন্ট স্থানচ্যুত হয়েছে।,Surgery
আমার মেয়ের হঠাৎ করে বুকে ব্যথা হয় অনেক ,Cardiologist
আমার যোনিপথ থেকে মাছের আঁশের মতো গন্ধ আসে।,Gynecologist
সাদা স্রাবের সাথে দুর্গন্ধ এবং চুলকানি আছে।,Gynecologist
আমার শরীর খুব ব্যথা করে আর ব্যথাটা একেক সময় একেক জায়গায় করে,Orthopedic
আমার সিজারের সেলাইয়ের জায়গা পেকে গেছে।,Surgery
আমার গলগণ্ডের অপারেশন কবে করা যাবে?,Surgery
আমার মায়ের ঘাড়ের কশেরুকা ক্ষয়ে গেছে।,Orthopedic
আমার দাঁতের গোড়ায় ব্যথা হয় ঠান্ডা কিছু খেলেই।,Medicine
আমার ত্বকের রঙটা কেমন যেন ফ্যাকাসে হয়ে গেছে।,Skin
আমার শ্বাস নিতে কষ্ট হয় যখন একটু হেঁটে উঠি।,Medicine
"আমার পরশু দিন থেকে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে স্থায়ীভাবে মাড়ি ক্ষয় হচ্ছে। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
আমার মায়ের ঘাড় শক্ত হয়ে গেছে।,Orthopedic
"আমার পিঠের ছুলিগুলো গরমে বাড়ে, শীতে কমে।",Skin
আমার এক সপ্তাহ ধরে গলা ভেঙে গেছে।,ENT
আমার প্রায় কয়েক মাস যাবত গলা ফুলে শক্ত হয়ে গেছে আরও গিলতে গেলে গলায় যন্ত্রণা হয়।,ENT
আমার বাহুতে ব্যথা হয় ও ফুলে যায়।,Surgery
"আমার অনেক দিন সময় ধরে ঠান্ডা পানীয় খেলে তীব্র শিরশির অনুভূতি, এমনকি কামড় দিয়ে আপেল খেলেও। ব্যথানাশক ছাড়া চলছেই না।",Dentist
"আমার কিছুদিন সময় ধরে পুরানো ফিলিং এর নিচে এ পচন, যা থেকে মাঝে মাঝে পুঁজ বের হয়। এর সঙ্গে মাড়ি থেকে রক্ত পড়া।",Dentist
ডাক্তার বলেছেন কোনো প্রকার মানসিক চাপ না নিতে।,Cardiologist
"অতিরিক্ত নরম স্বভাবের হওয়া কি কোন মানসিক রোগ?হলে সেটা থেকে নিজেকে শক্ত কিভাবে করবো যাতে খুব সহজে কষ্ট না পাই, কেউ মন ভাঙতে না পারে।",Psychiatrist
আমার অন্ধকারে চোখে দেখি না,Ophthalmologist
আমার কাঁধের জয়েন্ট বারবার ছুটে যাচ্ছে।,Surgery
চোখ খোলা অবস্থায়ও চোখে ঝাপসা দেখি।,Ophthalmologist
আমার মায়ের ঘাড়ের ব্যথার জন্য তিনি পেছনে তাকাতে পারেন না।,Orthopedic
আমার কয়েক সপ্তাহ ধরে নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে।,ENT
"আমার অনেক দিন সময় ধরে বরফ/ঠান্ডা বাতাস খেলে বিদ্যুৎ এর মত ঝাঁকুনি, শীতকালে সমস্যা বেড়ে যায়। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার মস্তিষ্কে রক্তক্ষরণ হয়েছে।,Surgery
আজ আপনার সময় কাল আমার। তাই যাই করুন ভেবেচিন্তে করুন। সময়মতো সবকিছু সুদে-আসলেই ফিরে পাবেন।,Psychiatrist
দুর্ঘটনায় আমার মুখের চোয়ালের হাড় ভেঙে গেছে।,Surgery
আমার ঘাড় ব্যথা করে আরহঠাৎ করে প্রেসার বেড়ে যায়,Medicine
আমি প্রেগন্যান্সির সময় দম বন্ধ হয়ে আসে এমন অনুভব করি।,Gynecologist
"আমার মনটা খুব খারাপ! হতাশা, ডিপ্রেশনে মানসিক সমস্যায় ভুগছি। কোনো হতাশা হলে গলা শুকিয়ে যায়! চোখের নিচে কালো দাগ, দূর থেকে চোখে দেখিনা সাত মাস ধরে। আমার জন্য সবাই একটু দোয়া করবেন প্লিজ!!!",Psychiatrist
"আমার মাসেলে অনেক ব্যথা করে, ঘুম ঠিকমত হয় না। অনেক ক্লান্ত লাগে।",Medicine
"প্রচন্ড পরিমাণ রাগ,হেল্প প্লিজ, রাগ সহ্য করতে না পেরে নিজেকে অনেক কষ্ট দিয়ে ফেলি..",Psychiatrist
আমার পিঠের নিচের অংশে একটা অবিরাম ব্যথা থাকে।,Orthopedic
আমার গত কয়েক দিন যাবত কানে কম শুনতে পাচ্ছি এছাড়াও কান ভেজা ভেজা লাগছে।,ENT
আমার শরীরের চামড়া খুব ঢিলেঢালা হয়ে গেছে।,Skin
আমার গত দুই সপ্তাহ যাবত কানে চাপ দিলে হলদেটে তরল বের হয়।,ENT
আমার টেনিস এলবোর সমস্যা হয়েছে।,Orthopedic
আমার কয়েক দিন সময় ধরে নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে আরও নাক ঝাড়লে রক্ত বের হয়।,ENT
আমার হাতের শিরায় ব্লক ধরা পড়েছে।,Surgery
আমার প্রেগন্যান্সিতে ঘুম ঠিকমতো হয় না।,Gynecologist
চোখের সাদা অংশ লাল হয়ে গেছে।,Ophthalmologist
গর্ভাবস্থায় পেটের ডান পাশে চাপ লাগে।,Gynecologist
আমার পায়ে ঝিনঝিন করে।,Cardiologist
ওজন বেশি হওয়ায় ডাক্তার হৃদরোগের ঝুঁকি বলেছেন।,Cardiologist
"আমার হার্টে রিং পরানো আছে, কিন্তু এখনও মাঝে মাঝে বুকে ব্যথা হয়।",Cardiologist
আমার পুরোনো পোড়া জায়গায় ঘা হয়েছে।,Surgery
আমার মূত্রনালীর পাথর ঔষধ দিয়ে বের হবে কিনা?,Surgery
"গর্ভাবস্থায় খিদে খুব বেশি পায়, এটা কি স্বাভাবিক?",Gynecologist
আমার গলা ব্যথা এবং আমি অনেক কিছুর স্বাদ পাই না সাথে আমি কিছুর গন্ধ পাইনা,Medicine
আমার করোনারি আর্টারিতে ৭০% ব্লক ধরা পড়েছে।,Cardiologist
আমার নাকে আর থুতনিতে সাদা বিচির মত উঠে আর মুখ অনেক বেশি খশখশা হয়ে থাকে।,Skin
নতুন প্রেসারের ঔষধটা শুরু করার পর থেকে আমার মাথাটা খালি খালি লাগে।,Cardiologist
আমার পেসমেকার লাগাতে হবে।,Surgery
প্রেগন্যান্সির সময় রাতে প্রস্রাবে বারবার উঠতে হয়।,Gynecologist
আমার ইকোকার্ডিওগ্রাম করতে বলা হয়েছে।,Cardiologist
প্রসবের পর থেকে তলপেটে চাপ অনুভব করি।,Gynecologist
"আমার রক্তচাপ সবসময় বেশি থাকে, ঔষধ খেয়েও নিয়ন্ত্রণে থাকছে না।",Cardiologist
আমার গত এক সপ্তাহ যাবত নাকের এক পাশ সবসময় বন্ধ থাকে।,ENT
আমার শরীরে হঠাৎ করে চাকা চাকা হয়ে ফুলে ওঠে আর চুলকায়।,Skin
আমার এক সপ্তাহ ধরে কান থেকে পানি ঝরছে এছাড়াও কানে শব্দ আসে কিন্তু বুঝতে পারি না।,ENT
"আমার কয়েক মাস যাবত ধরে মিষ্টি জাতীয় খাবার খেলে বিদ্যুৎ এর মত ঝাঁকুনি, বিশেষ করে চকলেট বা মিষ্টি ফল। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
চোখের ভেতরে গরম অনুভব করি।,Ophthalmologist
"আমার কয়েক মাস যাবত ধরে বরফ/ঠান্ডা বাতাস খেলে ক্ষণিকের তীব্র যন্ত্রণা, শীতকালে সমস্যা বেড়ে যায়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি সাথে আরও সামনের দাঁতগুলোতে তীব্র যন্ত্রণা।",Dentist
আমার আজে বাজে চিন্তা আসে আর একটা কথা বার বার চিন্তা হয় আমি চিন্তাই চিন্তাই আমি রোগা হয়ে জাচছি আমি এসব চিন্তা ভুলিয়ে দিতে চাই তেমো ওই সব চিন্তা আসে কি করবো,Psychiatrist
আমার দুই হাঁটুতে চটচটে অনুভব হয়।,Medicine
আমার গত কয়েক সপ্তাহ যাবত রাতে নাক বন্ধ হয়ে যায় । মাথাব্যথা করছে।,ENT
চোখ ধুয়ে ফেললেও জ্বালা কমে না।,Ophthalmologist
আমার নখের পাশের চামড়া উঠে গিয়ে খুব ব্যথা করে।,Skin
আমার পায়ের আঙুলগুলো মাঝে মাঝে রঙ পরিবর্তন করে।,Orthopedic
আমার চুলগুলো খুব রুক্ষ আর জট লেগে যায়।,Skin
আমার এক মাস ধরে কান থেকে পানি ঝরছে এবং বাম কানে তীব্র ব্যথা অনুভব করছি।,ENT
প্রেগন্যান্সির সময় কোমরে ও ঘাড়ে চাপ লাগে।,Gynecologist
আমার এক সপ্তাহ সময় ধরে কোনো গন্ধ পাচ্ছি না এবং হঠাৎ করেই নাক দিয়ে রক্ত বের হয়েছে।,ENT
আমার চোখ দিয়ে পানি পড়ে।,Ophthalmologist
"আমার কিছুদিন সময় ধরে চোয়ালে ব্যথা, কারণ সকালে ঘুম থেকে উঠলে বেশি ডায়াবেটিসের সমস্যা আছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার বাচ্চার গায়ে ছোট ছোট লাল গুটির মত হচ্ছে আর গায়ে প্রচুর জ্বর,Medicine
আমার বুকে ব্যথা হয় আর বেশিক্ষন শ্বাস ধরে রাখতে পারি না।,Medicine
আমার গত কয়েক মাস যাবত রাতে নাক বন্ধ হয়ে যায় পাশাপাশি গন্ধ পেলে বমি পায়।,ENT
আমার গোঁফের জায়গায় চামড়া কালো হয়ে যাচ্ছে।,Skin
চোখ দিয়ে পানি পড়া থামছেই না।,Ophthalmologist
আমার মাঝে মাঝেই বুক জ্বালা পুড়া করে বমি ভাব হয়,Cardiologist
আমার নিতম্ব থেকে ঊরু পর্যন্ত একটা টান অনুভব করি।,Orthopedic
আমার নখের কোণায় পুঁজ জমেছে।,Skin
"মানসিক দুশ্চিন্তা সমস্যা না থাকলে, আমার জীবন এ আর ভালো কিছু করতে পারতাম!",Psychiatrist
"আমার বাইপাস সার্জারি হয়েছিল, এখন ফলো-আপের জন্য এসেছি।",Cardiologist
আমার শরীরে মাঝে মাঝে ঝাঁকুনি দেয়।,Medicine
আমার বুড়ো আঙুলের জয়েন্ট ফুলে গেছে।,Orthopedic
আমার প্রথম সন্তান হওয়ার সময় জটিলতা হয়েছিল।,Gynecologist
আমি দাঁড়ালে কেমন যেন মনে হয় পায়ের নিচে কিছু বাধছে,Orthopedic
আমার মায়ের অনেক বুকে ব্যথা হয় কাশি দেওয়ার সময় বুকে অনেক ব্যথা করে। আর আম্মুর শরীর অনেক দূর্বল হয়ে গিয়েছে।,Cardiologist
আমার কোমরের নিচে ব্যথা হয় বসলে।,Medicine
আমার হাত ও পায়ের নখ নীল হয়ে যায়।,Cardiologist
"হতাশায় ভুগছি নিয়মিত।মনে হচ্ছে এই পৃথিবী ছেড়ে কোথাও চলে যেখানে আমি একা নয়ত মরে যাই। দুই তিন বছর ধরে হতাশার, একাকিত্বর সাথে লড়াই করতে করতে আমি ক্লান্ত।",Psychiatrist
আমি দীর্ঘদিন ঘরকুনো ছিলাম কারো সাথে মিশতাম না এমনকি আমার ঘরের মানুষের সাথেও কথা বলতাম না ডিপ্রশনে থাকার জন্য।,Psychiatrist
আমার মাসিক সময়ের অনেক আগে বা পরে হয়।,Gynecologist
আমার নাকের পাশে একটি টিউমার হয়েছে।,Surgery
"আমার প্রচুর রাগ, কোনোভাবেই রাগ নিয়ন্ত্রণ করতে পারছিনা, আমার কারও সাথে কথা বলতে ভালো লাগেনা মানুষের সামনে যেতে ভালো লাগেনা, কিচ্ছু ভালো লাগেনা, ভালো নাই আমি, আমি কিভাবে একটু ভালো থাকতে পারি??",Psychiatrist
"সুইসাইডের চিন্তা কোনভাবেই মাথা থেকে যায়না বরং দিনকে দিন এটা তিব্র হচ্ছে, ১০-১২ বছর ধরে এই সুইসাইডের চক্করে ঘুরপাক খাচ্ছি, যতই চেষ্টা করি মাথা থেকে সুইসাইডের বের করতে।",Psychiatrist
গর্ভধারণের পর আমার ওজন হঠাৎ অনেক বেড়ে গেছে।,Gynecologist
দীর্ঘক্ষণ বসে কাজ করার পর আমার কোমর ধরে যায়।,Orthopedic
আমার পাইলস অপারেশনের পর আবার রক্ত যাচ্ছে।,Surgery
আমার মুখের ত্বকে একটা পোড়া দাগ আছে।,Skin
চোখ বন্ধ করলে চারপাশ ঘোরে মনে হয়।,Ophthalmologist
জীবেনর প্রতি আর কোনো মায়া কাজ করছে না। প্রতিনিয়ত একটু একটু মরার চেয়ে একেবারে মরে যাওয়াটাই ভালো। এক জীবনে এতো কষ্ট কিভাবে সহ্য করবো? খুব অসহায় লাগছে🥺🥺।দয়া করে আমাকে বাঁচান,Psychiatrist
চোখের পাতা খুলতেই হালকা দৃষ্টি সরে যায়।,Ophthalmologist
আমার ঠোঁট দুটো নীলচে বা ফ্যাকাসে হয়ে থাকে।,Skin
আমার মায়ের হাতের কব্জি দুর্বল হয়ে পড়েছে।,Orthopedic
আমার মাথার ত্বকের কিছু কিছু জায়গা লাল হয়ে আছে।,Skin
আমার চোখে দেখতে কষ্ট হচ্ছে।,Ophthalmologist
আমার সবকিছু দুটো করে দেখি,Ophthalmologist
আমার পিঠের শিরদাঁড়া বরাবর একটা ব্যথা নিচে নেমে যায়।,Orthopedic
আমার প্রায় এক সপ্তাহ যাবত গলায় অসহ্য জ্বালাপোড়া করছে পাশাপাশি গলা ফুলে শক্ত হয়ে গেছে।,ENT
আমার প্রায় এক মাস যাবত কান দিয়ে সাদা পুঁজ বের হচ্ছে এবং কানে কিছু আটকে আছে বলে মনে হয়। জ্বর আসছে।,ENT
কাউরে ঠিকমতো চিনতে পারিনা কেমন লাগে জানিনা মনে হয় মারা জাবো জানবাহনে উটতে ভয় লাগে টাকা রুজি করতে ভয় পাই,Psychiatrist
"আমার গত কয়েক দিন যাবৎ গরম চা/কফি খেলে ক্ষণিকের তীব্র যন্ত্রণা, যখন গরম ভাপ মুখে লাগে। ব্যথানাশক ছাড়া চলছেই না।",Dentist
"আমার পরশু দিন থেকে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে দাঁত কিছুটা নড়ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
কি কি কাজ করলে পড়ালেখায় মন বসবে... পড়ালেখার প্রতি বেশি উৎসাহী হবো. জব প্রিপারেশন নিচ্ছি ...... হেল্প করবেন আপু ভাইয়ারা....,Psychiatrist
চোখ বন্ধ করলে চারপাশ গোল হয়ে ঘোরে।,Ophthalmologist
গর্ভধারণের সময় সকালে ঘুম ভাঙার পর মাথা ধরে থাকে।,Gynecologist
রাতে একদম দেখতে পাই না।,Ophthalmologist
"আমার গত দুই সপ্তাহ যাবৎ দাঁতের চিবোনোর পৃষ্ঠে এ ছোট কালো দাগ, যা দিন দিন বাড়ছে। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি এবং এর সাথে মাড়ি সরে যাওয়া।",Dentist
আমার মেয়ের সারা মুখে ছোট ছোট গোটা হয়েছে।,Skin
আমার সারা গায়ে ছোট ছোট লাল তিলের মতো হচ্ছে।,Skin
"আমার ফোঁড়াটা পেকে নিজে থেকেই গলে গেছে, কিন্তু দাগ রয়ে গেছে।",Skin
আমার বগলের নিচে ঘামাচির মতো গোটা হয়েছে।,Skin
আমার ত্বকের কিছু অংশ খুব গরম অনুভূত হয়।,Skin
মানুষের সাথে কথা বলতে পাড়ি না। একটি দুটির বেশি কথাই বলতে পাড়ি না। কোনো কথা মাথায়ই আশে না। কি বলব। সবাই বোকা বলে? এটা কি মানসিক পবলেম নাকি জন্ম গত।,Psychiatrist
"আমার গত এক সপ্তাহ যাবৎ চোয়ালে ব্যথা, কারণ সকালে ঘুম থেকে উঠলে বেশি ধূমপানের অভ্যাস রয়েছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে এর সঙ্গে মাড়ি থেকে পুঁজ।",Dentist
"আমার গত কয়েক দিন যাবৎ সমস্ত পাটির দাঁতে টনটনে ব্যথা, যা কানের দিকে ছড়াচ্ছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার কাঁধে ব্যথা হয়ে হাতে ছড়িয়ে পড়ে।,Surgery
আমি বেশিক্ষন দাঁড়িয়ে থাকতে পারি না পায়ের গোরালি ব্যথা করে,Medicine
বুকে এমনভাবে ব্যাথা করে যেন কেউ সুই দিয়ে খোঁচা দিচ্ছে।,Cardiologist
চোখে ভেতর থেকে চাপ লাগে।,Ophthalmologist
নিজের ভিতর কথা জমিয়ে রাখতে রাখতে আমি পাগল হয়ে যাচ্ছি। সুইসাইড ছাড়া আর কিচ্ছু মাথায় আসতেছেনা,Psychiatrist
প্রসবের সময় আমার তীব্র রক্তপাত হয়েছিল।,Gynecologist
মাঝে মাঝেই আমি অজ্ঞান হয়ে যাই।,Cardiologist
আমি একজন ছেলে। ছোট বেলা থেকেই অনেক ইন্ট্রোভার্ট। এখন হীনমন্ন্যতায় না ভুগে কিভাবে আত্মবিশ্বাস বাড়ানো যায়?,Psychiatrist
আমার সারা গায়ে আমবাতের মতো চাকা চাকা হয়ে যায়।,Skin
"আমার অনেক দিন সময় ধরে সমস্ত পাটির দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে।",Dentist
আমার নখের আকৃতি বদলে যাচ্ছে।,Skin
আমার সবকিছুতে ভয় হয় মনে হয় কেউ আমাকে দেখছে আর আমার মোবাইল হ্যাক হয়েছে সবাইকে দুসমন মনে হয় এ থেকে কিভাবে মুক্তি পাব,Psychiatrist
"আমার বুকের মাঝখানে চাপ দিয়ে ব্যথা হয়, যা বাম হাতে ছড়িয়ে পড়ে।",Surgery
আমার হাত পা জ্বালা করে রাতে ঘুমাতে পারি না।,Medicine
চোখের দৃষ্টি ধীরে ধীরে কমে যাচ্ছে।,Ophthalmologist
"আমার পরশু দিন থেকে দাঁতের গোড়ায় এ গর্ত, যেখানে খাবার আটকে যায়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি এবং এর সাথে উপরের ডান দিকের মোলার দাঁতে থেমে থেমে ব্যথা।",Dentist
গর্ভধারণের পর থেকে স্বাদ-গন্ধে পরিবর্তন হয়েছে।,Gynecologist
আমার কোমর থেকে একটা ব্যথা পায়ের আঙুল পর্যন্ত যায়।,Orthopedic
আমার মেয়ের হাঁটার সময় একটা পা ভেতরের দিকে বেঁকে যায়।,Orthopedic
আমার মেয়ের রাতের বেলা জ্বর আসে।,Medicine
"আমার গত এক সপ্তাহ যাবৎ অস্থায়ী দাঁত নড়া, কারণ যা ভাষা বলতে সমস্যা করছে দাঁত কিড়মিড়ানোর অভ্যাস আছে। ব্যথানাশক ছাড়া চলছেই না।",Dentist
চোখ দিয়ে হলুদ পানি পড়ে।,Ophthalmologist
আমার কয়েক মাস সময় ধরে রাতে নাক বন্ধ হয়ে যায় আরও খাবারের স্বাদ পাচ্ছি না। শরীর দুর্বল লাগছে।,ENT
আমার গত এক মাস যাবত কানে অসহ্য যন্ত্রণা হচ্ছে । খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার কয়েক সপ্তাহ থেকে গলা শুকিয়ে কাঠ হয়ে গেছে এবং কণ্ঠস্বর কর্কশ হয়ে গেছে। খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার মাথার খুলির একটি অংশ অপারেশনের জন্য খুলতে হবে।,Surgery
"আমার অনেক গলা ব্যথা, সর্দি আর কাশি",Medicine
সিজার করার পর ক্ষত শুকাচ্ছে না।,Gynecologist
আমার দুই সপ্তাহ সময় ধরে কানে কিছু আটকে আছে বলে মনে হয় । কাজে মনোযোগ দিতে পারছি না।,ENT
"যাকে আপন ভেবেছি সেই সহধর্মিণী ও বাধ্য করছে ভেংগে পড়তে।যেই মানসিক সাপোর্ট টা দরকার, উলটো চাপে আমি ভেংগে পড়ছি৷ আমি পারছি না সহ্য করতে৷ কিভাবে রিকোভার করব জানি না৷ শুধু আল্লাহর কাছে বলছি আমাকে পথ দেখাও৷",Psychiatrist
গর্ভাবস্থায় নিয়মিত হাঁটা কতটা দরকার?,Gynecologist
আমার শরীরের চামড়ার নিচে বাতাস জমেছে।,Surgery
আমার স্মৃতিশক্তি কমে যাচ্ছে।,Cardiologist
আমার কয়েক দিন থেকে রাতে নাক বন্ধ হয়ে যায় এর সাথে হঠাৎ করেই নাক দিয়ে রক্ত বের হয়েছে। যন্ত্রণায় ঘুমাতে পারছি না।,ENT
গর্ভাবস্থায় রক্তচাপ বেশি হচ্ছে।,Gynecologist
আমার ত্বকে এমন একটা গোটা হয়েছে যেটা টিপলে ব্যথা লাগে।,Skin
প্রস্রাব করার পর ফোঁটা ফোঁটা প্রস্রাব পড়ে।,Gynecologist
"আমার কয়েক মাস যাবত ধরে নিচের বাম দিকের ক্যানাইন দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে। আরো একটি সমস্যা হলো মাড়ি ফোলা।",Dentist
আমার রক্তে শর্করার মাত্রা বেশি।,Cardiologist
আমার বুকে ব্যথার সাথে মৃত্যুভয়ও কাজ করে।,Cardiologist
আমার হাঁটু ভাঁজ করলে ভেতরে শব্দ হয়।,Orthopedic
আমি ফুটবল খেলতে গিয়ে পায়ে অনেক ব্যথা পাই এখন আমি ভাড়ি কিছু বহনই করতে পারি না,Orthopedic
আমার নখের স্বাস্থ্য ভালো করার উপায় জানতে চাই।,Skin
